epoch: 0	train ppl: 131501.43748468437	val ppl: 11276.63881189814	best val: 11276.63881189814	time (s) spent in epoch: 108.7569227218628
epoch: 1	train ppl: 4014.5797083946313	val ppl: 1330.912036708531	best val: 1330.912036708531	time (s) spent in epoch: 108.27332997322083
epoch: 2	train ppl: 1487.477231361875	val ppl: 768.6372693339865	best val: 768.6372693339865	time (s) spent in epoch: 108.7180061340332
epoch: 3	train ppl: 848.8994219036871	val ppl: 579.0343496445743	best val: 579.0343496445743	time (s) spent in epoch: 108.52145266532898
epoch: 4	train ppl: 596.4572925472062	val ppl: 455.6810808380429	best val: 455.6810808380429	time (s) spent in epoch: 109.26297211647034
epoch: 5	train ppl: 506.6261467682255	val ppl: 605.0433693761516	best val: 455.6810808380429	time (s) spent in epoch: 108.24229145050049
epoch: 6	train ppl: 448.4814472640611	val ppl: 395.5598587114284	best val: 395.5598587114284	time (s) spent in epoch: 107.92365980148315
epoch: 7	train ppl: 391.9295591559946	val ppl: 358.76107362825695	best val: 358.76107362825695	time (s) spent in epoch: 107.2744529247284
epoch: 8	train ppl: 351.8653580979481	val ppl: 335.7533574175578	best val: 335.7533574175578	time (s) spent in epoch: 107.26674437522888
epoch: 9	train ppl: 304.71746187146977	val ppl: 388.2931210147983	best val: 335.7533574175578	time (s) spent in epoch: 106.80668067932129
epoch: 10	train ppl: 271.74309349235483	val ppl: 273.9181713262925	best val: 273.9181713262925	time (s) spent in epoch: 107.26261496543884
epoch: 11	train ppl: 249.0819606846243	val ppl: 254.021081801447	best val: 254.021081801447	time (s) spent in epoch: 107.06681990623474
epoch: 12	train ppl: 222.7384024385837	val ppl: 213.70255143923032	best val: 213.70255143923032	time (s) spent in epoch: 107.00302457809448
epoch: 13	train ppl: 202.54332052113654	val ppl: 275.7805859277677	best val: 213.70255143923032	time (s) spent in epoch: 106.61714768409729
epoch: 14	train ppl: 184.1531036090177	val ppl: 219.8525165698704	best val: 213.70255143923032	time (s) spent in epoch: 106.44999122619629
epoch: 15	train ppl: 164.87573543255724	val ppl: 230.09700949326827	best val: 213.70255143923032	time (s) spent in epoch: 106.53106808662415
epoch: 16	train ppl: 151.19679593953023	val ppl: 222.23110317133705	best val: 213.70255143923032	time (s) spent in epoch: 106.54245376586914
epoch: 17	train ppl: 140.85862731473	val ppl: 191.54641246047666	best val: 191.54641246047666	time (s) spent in epoch: 107.02520871162415
epoch: 18	train ppl: 130.50294852656737	val ppl: 197.75233967953284	best val: 191.54641246047666	time (s) spent in epoch: 106.53500247001648
epoch: 19	train ppl: 120.1625348478264	val ppl: 205.79227420529276	best val: 191.54641246047666	time (s) spent in epoch: 106.5532112121582
epoch: 20	train ppl: 113.26010660992364	val ppl: 185.1899990468829	best val: 185.1899990468829	time (s) spent in epoch: 106.99223804473877
epoch: 21	train ppl: 102.8044458433047	val ppl: 187.08941635826864	best val: 185.1899990468829	time (s) spent in epoch: 106.56874752044678
epoch: 22	train ppl: 96.3366714884653	val ppl: 185.03008069386095	best val: 185.03008069386095	time (s) spent in epoch: 107.03973007202148
epoch: 23	train ppl: 90.56587365015042	val ppl: 186.31835713327465	best val: 185.03008069386095	time (s) spent in epoch: 106.54821562767029
epoch: 24	train ppl: 82.46748693884865	val ppl: 186.62570351608437	best val: 185.03008069386095	time (s) spent in epoch: 106.53681993484497
epoch: 25	train ppl: 78.0688228058365	val ppl: 182.77530482915114	best val: 182.77530482915114	time (s) spent in epoch: 107.0184440612793
epoch: 26	train ppl: 71.94207834118195	val ppl: 172.815977127858	best val: 172.815977127858	time (s) spent in epoch: 107.02386999130249
epoch: 27	train ppl: 67.24729097217774	val ppl: 197.92226270698487	best val: 172.815977127858	time (s) spent in epoch: 106.55038952827454
epoch: 28	train ppl: 62.09167333689994	val ppl: 190.97117900527448	best val: 172.815977127858	time (s) spent in epoch: 106.53807759284973
epoch: 29	train ppl: 57.51502740430509	val ppl: 186.7380316518371	best val: 172.815977127858	time (s) spent in epoch: 106.98150396347046
epoch: 30	train ppl: 53.53896590934718	val ppl: 224.1784632876966	best val: 172.815977127858	time (s) spent in epoch: 108.34082198143005
epoch: 31	train ppl: 49.24973188993857	val ppl: 209.56463563967858	best val: 172.815977127858	time (s) spent in epoch: 108.84805583953857
epoch: 32	train ppl: 45.99983468408737	val ppl: 228.99356112554088	best val: 172.815977127858	time (s) spent in epoch: 107.59785866737366
epoch: 33	train ppl: 43.08891463259866	val ppl: 252.04351539883433	best val: 172.815977127858	time (s) spent in epoch: 108.34657979011536
epoch: 34	train ppl: 40.20844972920075	val ppl: 248.83400039720215	best val: 172.815977127858	time (s) spent in epoch: 107.74676632881165
epoch: 35	train ppl: 37.30596508992513	val ppl: 245.74331123935346	best val: 172.815977127858	time (s) spent in epoch: 107.84156560897827
epoch: 36	train ppl: 34.71305659204479	val ppl: 263.29713767950506	best val: 172.815977127858	time (s) spent in epoch: 108.3121247291565
epoch: 37	train ppl: 32.57592435878371	val ppl: 284.21650384434025	best val: 172.815977127858	time (s) spent in epoch: 107.57751965522766
epoch: 38	train ppl: 30.01409294816817	val ppl: 323.1574548059026	best val: 172.815977127858	time (s) spent in epoch: 108.37372350692749
epoch: 39	train ppl: 27.52516495812204	val ppl: 284.97014778543996	best val: 172.815977127858	time (s) spent in epoch: 107.93185877799988
