epoch: 0	train ppl: 533.7485084157215	val ppl: 315.38474977197006	best val: 315.38474977197006	time (s) spent in epoch: 576.2850563526154
epoch: 1	train ppl: 357.13227531200516	val ppl: 268.1699343744568	best val: 268.1699343744568	time (s) spent in epoch: 576.8243067264557
epoch: 2	train ppl: 304.6525433418058	val ppl: 250.75294629556987	best val: 250.75294629556987	time (s) spent in epoch: 577.3209164142609
epoch: 3	train ppl: 274.3400716698471	val ppl: 234.5242310983711	best val: 234.5242310983711	time (s) spent in epoch: 577.5158491134644
epoch: 4	train ppl: 254.85614629169746	val ppl: 227.35044372671186	best val: 227.35044372671186	time (s) spent in epoch: 577.3034682273865
epoch: 5	train ppl: 240.50905556600046	val ppl: 230.63897294963584	best val: 227.35044372671186	time (s) spent in epoch: 576.6338605880737
epoch: 6	train ppl: 230.6329441181475	val ppl: 231.6776990160141	best val: 227.35044372671186	time (s) spent in epoch: 576.7048242092133
epoch: 7	train ppl: 222.58632796185879	val ppl: 220.39890457035634	best val: 220.39890457035634	time (s) spent in epoch: 577.0769968032837
epoch: 8	train ppl: 216.79948778508205	val ppl: 216.13083415999552	best val: 216.13083415999552	time (s) spent in epoch: 577.327782869339
epoch: 9	train ppl: 211.9669479518861	val ppl: 212.72550714520239	best val: 212.72550714520239	time (s) spent in epoch: 577.5295135974884
epoch: 10	train ppl: 208.25404591528252	val ppl: 221.5541304249314	best val: 212.72550714520239	time (s) spent in epoch: 577.0174224376678
epoch: 11	train ppl: 204.50342945034035	val ppl: 214.0776156100216	best val: 212.72550714520239	time (s) spent in epoch: 577.1712648868561
epoch: 12	train ppl: 201.783709466409	val ppl: 220.26588722494512	best val: 212.72550714520239	time (s) spent in epoch: 577.2532625198364
epoch: 13	train ppl: 199.91639851400151	val ppl: 215.31349074362544	best val: 212.72550714520239	time (s) spent in epoch: 575.092476606369
epoch: 14	train ppl: 197.75716295799728	val ppl: 223.00532899060593	best val: 212.72550714520239	time (s) spent in epoch: 578.0280151367188
epoch: 15	train ppl: 196.2659336578466	val ppl: 221.45074396113512	best val: 212.72550714520239	time (s) spent in epoch: 577.1545054912567
epoch: 16	train ppl: 194.4481663513753	val ppl: 225.0388366066438	best val: 212.72550714520239	time (s) spent in epoch: 577.6751945018768
epoch: 17	train ppl: 193.18498568331844	val ppl: 221.64146896147017	best val: 212.72550714520239	time (s) spent in epoch: 577.7156279087067
epoch: 18	train ppl: 192.6402188152352	val ppl: 223.6966657345322	best val: 212.72550714520239	time (s) spent in epoch: 577.5994236469269
epoch: 19	train ppl: 191.6460744445064	val ppl: 217.85745035819127	best val: 212.72550714520239	time (s) spent in epoch: 579.2099320888519
epoch: 20	train ppl: 190.43352622887326	val ppl: 223.3040610436548	best val: 212.72550714520239	time (s) spent in epoch: 578.212744474411
epoch: 21	train ppl: 189.51251620149256	val ppl: 228.00900969274412	best val: 212.72550714520239	time (s) spent in epoch: 578.4197335243225
epoch: 22	train ppl: 189.14833298128593	val ppl: 222.68705809826528	best val: 212.72550714520239	time (s) spent in epoch: 578.6245555877686
epoch: 23	train ppl: 188.74301180228008	val ppl: 228.6419502662617	best val: 212.72550714520239	time (s) spent in epoch: 578.9128456115723
epoch: 24	train ppl: 188.46719014276835	val ppl: 224.0213930312981	best val: 212.72550714520239	time (s) spent in epoch: 581.9640769958496
epoch: 25	train ppl: 187.878467816808	val ppl: 230.12501012947138	best val: 212.72550714520239	time (s) spent in epoch: 581.4769027233124
epoch: 26	train ppl: 187.26759904687995	val ppl: 222.5436457131281	best val: 212.72550714520239	time (s) spent in epoch: 580.2458312511444
epoch: 27	train ppl: 187.3482226924805	val ppl: 220.85247057301052	best val: 212.72550714520239	time (s) spent in epoch: 576.9818036556244
epoch: 28	train ppl: 187.4977934699202	val ppl: 225.098618565498	best val: 212.72550714520239	time (s) spent in epoch: 577.1533002853394
epoch: 29	train ppl: 187.34697659011601	val ppl: 231.7200233317934	best val: 212.72550714520239	time (s) spent in epoch: 574.578460931778
epoch: 30	train ppl: 187.2523718125651	val ppl: 232.68851196854405	best val: 212.72550714520239	time (s) spent in epoch: 570.0907986164093
epoch: 31	train ppl: 187.5259283948139	val ppl: 229.84181847138495	best val: 212.72550714520239	time (s) spent in epoch: 567.7703518867493
epoch: 32	train ppl: 187.64999787239157	val ppl: 227.01444324426464	best val: 212.72550714520239	time (s) spent in epoch: 568.0811030864716
epoch: 33	train ppl: 187.85238564156774	val ppl: 224.85779895866622	best val: 212.72550714520239	time (s) spent in epoch: 567.6931223869324
epoch: 34	train ppl: 188.4629938137309	val ppl: 230.70370206127228	best val: 212.72550714520239	time (s) spent in epoch: 567.6787359714508
epoch: 35	train ppl: 188.51830090211317	val ppl: 237.11608643242184	best val: 212.72550714520239	time (s) spent in epoch: 567.6969301700592
epoch: 36	train ppl: 189.7058843119647	val ppl: 236.44933998305532	best val: 212.72550714520239	time (s) spent in epoch: 567.9784951210022
epoch: 37	train ppl: 189.76282580705723	val ppl: 232.13361687545097	best val: 212.72550714520239	time (s) spent in epoch: 568.6173379421234
epoch: 38	train ppl: 190.28215337782586	val ppl: 231.610901170694	best val: 212.72550714520239	time (s) spent in epoch: 568.3768293857574
epoch: 39	train ppl: 191.32931731990044	val ppl: 234.36355256436934	best val: 212.72550714520239	time (s) spent in epoch: 568.4886107444763
