epoch: 0	train ppl: 314.7790948771519	val ppl: 191.48956395985033	best val: 191.48956395985033	time (s) spent in epoch: 95.59331250190735
epoch: 1	train ppl: 135.78384196211357	val ppl: 157.5316656616849	best val: 157.5316656616849	time (s) spent in epoch: 95.79525184631348
epoch: 2	train ppl: 96.7459900240118	val ppl: 151.82824739483874	best val: 151.82824739483874	time (s) spent in epoch: 95.80857825279236
epoch: 3	train ppl: 76.10527089958956	val ppl: 150.04756644747906	best val: 150.04756644747906	time (s) spent in epoch: 95.85609316825867
epoch: 4	train ppl: 62.46019315632611	val ppl: 158.20264553012967	best val: 150.04756644747906	time (s) spent in epoch: 95.16720223426819
epoch: 5	train ppl: 52.16288283246545	val ppl: 167.30930549088538	best val: 150.04756644747906	time (s) spent in epoch: 95.15144991874695
epoch: 6	train ppl: 44.04972444247573	val ppl: 179.97628261600116	best val: 150.04756644747906	time (s) spent in epoch: 95.20653009414673
epoch: 7	train ppl: 37.3693831465854	val ppl: 195.79830938151636	best val: 150.04756644747906	time (s) spent in epoch: 95.23670840263367
epoch: 8	train ppl: 31.84435081487818	val ppl: 216.11533050038344	best val: 150.04756644747906	time (s) spent in epoch: 95.03358316421509
epoch: 9	train ppl: 27.22383335995754	val ppl: 236.97864780360803	best val: 150.04756644747906	time (s) spent in epoch: 95.01479268074036
epoch: 10	train ppl: 23.32818314623495	val ppl: 260.8319501655632	best val: 150.04756644747906	time (s) spent in epoch: 95.04187202453613
epoch: 11	train ppl: 20.04427102083682	val ppl: 286.88605749907373	best val: 150.04756644747906	time (s) spent in epoch: 95.08581376075745
epoch: 12	train ppl: 17.35055822439496	val ppl: 321.41683886120427	best val: 150.04756644747906	time (s) spent in epoch: 94.8943362236023
epoch: 13	train ppl: 15.086716380154728	val ppl: 367.6937002642334	best val: 150.04756644747906	time (s) spent in epoch: 94.90346121788025
epoch: 14	train ppl: 13.24680761263639	val ppl: 422.7961338420389	best val: 150.04756644747906	time (s) spent in epoch: 94.91668820381165
epoch: 15	train ppl: 11.710939702014668	val ppl: 475.88798508085574	best val: 150.04756644747906	time (s) spent in epoch: 94.85174369812012
epoch: 16	train ppl: 10.470055591535479	val ppl: 551.7922381884855	best val: 150.04756644747906	time (s) spent in epoch: 94.76802945137024
epoch: 17	train ppl: 9.44286647037956	val ppl: 624.6602348230055	best val: 150.04756644747906	time (s) spent in epoch: 94.72174167633057
epoch: 18	train ppl: 8.570924205625484	val ppl: 721.3847402575246	best val: 150.04756644747906	time (s) spent in epoch: 94.77983689308167
epoch: 19	train ppl: 7.885438859794075	val ppl: 798.272863575363	best val: 150.04756644747906	time (s) spent in epoch: 94.71235728263855
epoch: 20	train ppl: 7.279738004918523	val ppl: 879.8630160494805	best val: 150.04756644747906	time (s) spent in epoch: 94.76668238639832
epoch: 21	train ppl: 6.776793633889713	val ppl: 963.9208648259082	best val: 150.04756644747906	time (s) spent in epoch: 94.64471435546875
epoch: 22	train ppl: 6.3614765677332805	val ppl: 1065.484378388298	best val: 150.04756644747906	time (s) spent in epoch: 94.71462750434875
epoch: 23	train ppl: 6.0000005727162184	val ppl: 1238.0467768157869	best val: 150.04756644747906	time (s) spent in epoch: 94.734290599823
epoch: 24	train ppl: 5.664727311688895	val ppl: 1379.8071823022362	best val: 150.04756644747906	time (s) spent in epoch: 94.67539668083191
epoch: 25	train ppl: 5.399394116309102	val ppl: 1507.892070413595	best val: 150.04756644747906	time (s) spent in epoch: 94.65179657936096
epoch: 26	train ppl: 5.134052090687346	val ppl: 1693.5681820294424	best val: 150.04756644747906	time (s) spent in epoch: 94.60553312301636
epoch: 27	train ppl: 4.9168949554729275	val ppl: 1843.6308221321121	best val: 150.04756644747906	time (s) spent in epoch: 94.639897108078
epoch: 28	train ppl: 4.702855921541727	val ppl: 1943.5315024897016	best val: 150.04756644747906	time (s) spent in epoch: 94.62069463729858
epoch: 29	train ppl: 4.527457837520237	val ppl: 2153.9617220320238	best val: 150.04756644747906	time (s) spent in epoch: 94.70006489753723
epoch: 30	train ppl: 4.357528584077201	val ppl: 2416.7597554004674	best val: 150.04756644747906	time (s) spent in epoch: 94.55579686164856
epoch: 31	train ppl: 4.2119797167417	val ppl: 2585.60415215225	best val: 150.04756644747906	time (s) spent in epoch: 94.55837655067444
epoch: 32	train ppl: 4.0635219105277365	val ppl: 2732.196731022496	best val: 150.04756644747906	time (s) spent in epoch: 94.58238983154297
epoch: 33	train ppl: 3.9350603808443703	val ppl: 2954.5234626543033	best val: 150.04756644747906	time (s) spent in epoch: 94.58652687072754
epoch: 34	train ppl: 3.8041466205143655	val ppl: 3143.7214269561014	best val: 150.04756644747906	time (s) spent in epoch: 94.64193105697632
epoch: 35	train ppl: 3.7198661961177533	val ppl: 3285.2608933397855	best val: 150.04756644747906	time (s) spent in epoch: 94.60007882118225
epoch: 36	train ppl: 3.6133566024019883	val ppl: 3458.3765872954323	best val: 150.04756644747906	time (s) spent in epoch: 94.61664628982544
epoch: 37	train ppl: 3.525491175454216	val ppl: 3768.5133143555745	best val: 150.04756644747906	time (s) spent in epoch: 94.6681718826294
epoch: 38	train ppl: 3.4446506070349754	val ppl: 3950.2065129368284	best val: 150.04756644747906	time (s) spent in epoch: 94.50262689590454
epoch: 39	train ppl: 3.3613115933613913	val ppl: 4074.8952287863353	best val: 150.04756644747906	time (s) spent in epoch: 94.61538672447205
