epoch: 0	train ppl: 591.8163840530735	val ppl: 326.2643631812608	best val: 326.2643631812608	time (s) spent in epoch: 755.4426426887512
epoch: 1	train ppl: 317.6481312866876	val ppl: 237.05863445087164	best val: 237.05863445087164	time (s) spent in epoch: 754.0612795352936
epoch: 2	train ppl: 251.7561216241939	val ppl: 223.9266449089286	best val: 223.9266449089286	time (s) spent in epoch: 754.320502281189
epoch: 3	train ppl: 214.5830224987221	val ppl: 184.6171675314692	best val: 184.6171675314692	time (s) spent in epoch: 754.1666011810303
epoch: 4	train ppl: 189.40888063188038	val ppl: 168.68232420308814	best val: 168.68232420308814	time (s) spent in epoch: 754.6021356582642
epoch: 5	train ppl: 171.0277711361357	val ppl: 153.4630647733183	best val: 153.4630647733183	time (s) spent in epoch: 754.0451638698578
epoch: 6	train ppl: 156.54895279923213	val ppl: 150.72854582969495	best val: 150.72854582969495	time (s) spent in epoch: 754.4471919536591
epoch: 7	train ppl: 144.59313502989048	val ppl: 149.13948292494345	best val: 149.13948292494345	time (s) spent in epoch: 754.6607494354248
epoch: 8	train ppl: 134.71410689319646	val ppl: 137.30279667487798	best val: 137.30279667487798	time (s) spent in epoch: 753.9606246948242
epoch: 9	train ppl: 126.40423931714402	val ppl: 137.43160873594513	best val: 137.30279667487798	time (s) spent in epoch: 754.3839800357819
epoch: 10	train ppl: 119.06749097735442	val ppl: 132.7390364550972	best val: 132.7390364550972	time (s) spent in epoch: 755.3780152797699
epoch: 11	train ppl: 112.7226397999678	val ppl: 129.3546493194677	best val: 129.3546493194677	time (s) spent in epoch: 755.4325971603394
epoch: 12	train ppl: 106.94805574335031	val ppl: 126.67716118710327	best val: 126.67716118710327	time (s) spent in epoch: 755.7672665119171
epoch: 13	train ppl: 101.98580075713281	val ppl: 122.66753451763222	best val: 122.66753451763222	time (s) spent in epoch: 756.3894736766815
epoch: 14	train ppl: 97.30575756200989	val ppl: 121.2945707261461	best val: 121.2945707261461	time (s) spent in epoch: 755.9601585865021
epoch: 15	train ppl: 93.25894460904004	val ppl: 119.00766434207637	best val: 119.00766434207637	time (s) spent in epoch: 755.9203073978424
epoch: 16	train ppl: 89.46851385966075	val ppl: 119.96895578506697	best val: 119.00766434207637	time (s) spent in epoch: 755.4993407726288
epoch: 17	train ppl: 85.8278470175098	val ppl: 119.11353210330947	best val: 119.00766434207637	time (s) spent in epoch: 755.0782949924469
epoch: 18	train ppl: 82.77371395498153	val ppl: 118.66834091956018	best val: 118.66834091956018	time (s) spent in epoch: 755.0406205654144
epoch: 19	train ppl: 80.06079916433161	val ppl: 117.5216535775361	best val: 117.5216535775361	time (s) spent in epoch: 755.0972654819489
epoch: 20	train ppl: 77.23832829970232	val ppl: 116.1971649985353	best val: 116.1971649985353	time (s) spent in epoch: 756.5171208381653
epoch: 21	train ppl: 74.58697834586923	val ppl: 116.4502909889984	best val: 116.1971649985353	time (s) spent in epoch: 755.2874734401703
epoch: 22	train ppl: 72.57455351253226	val ppl: 117.1497594023362	best val: 116.1971649985353	time (s) spent in epoch: 754.2769737243652
epoch: 23	train ppl: 70.29030331674413	val ppl: 116.69531347301675	best val: 116.1971649985353	time (s) spent in epoch: 758.489043712616
epoch: 24	train ppl: 68.40025514299909	val ppl: 117.98863778361715	best val: 116.1971649985353	time (s) spent in epoch: 753.4829540252686
epoch: 25	train ppl: 66.56548114564926	val ppl: 117.41143875865565	best val: 116.1971649985353	time (s) spent in epoch: 752.5977885723114
epoch: 26	train ppl: 64.89097745908705	val ppl: 116.9850677748892	best val: 116.1971649985353	time (s) spent in epoch: 755.328385591507
epoch: 27	train ppl: 63.24790667779518	val ppl: 118.38438176736538	best val: 116.1971649985353	time (s) spent in epoch: 754.9578728675842
epoch: 28	train ppl: 61.799026596374006	val ppl: 118.16738949446112	best val: 116.1971649985353	time (s) spent in epoch: 759.1967053413391
epoch: 29	train ppl: 60.446669397064625	val ppl: 118.56925749057802	best val: 116.1971649985353	time (s) spent in epoch: 759.0633225440979
epoch: 30	train ppl: 58.90266151638324	val ppl: 118.81385689048825	best val: 116.1971649985353	time (s) spent in epoch: 762.4615559577942
epoch: 31	train ppl: 57.84516465383566	val ppl: 117.22993404158487	best val: 116.1971649985353	time (s) spent in epoch: 761.4531056880951
epoch: 32	train ppl: 56.56723237614351	val ppl: 120.97552832636636	best val: 116.1971649985353	time (s) spent in epoch: 759.1219358444214
epoch: 33	train ppl: 55.59322945108988	val ppl: 119.94128070206506	best val: 116.1971649985353	time (s) spent in epoch: 762.6538903713226
epoch: 34	train ppl: 54.41765496494322	val ppl: 121.16034577282936	best val: 116.1971649985353	time (s) spent in epoch: 763.3058433532715
epoch: 35	train ppl: 53.566344438582576	val ppl: 123.28856797365755	best val: 116.1971649985353	time (s) spent in epoch: 761.1243531703949
epoch: 36	train ppl: 52.53186510756143	val ppl: 121.82243179884968	best val: 116.1971649985353	time (s) spent in epoch: 761.1822714805603
epoch: 37	train ppl: 51.80338630119755	val ppl: 121.37705006112996	best val: 116.1971649985353	time (s) spent in epoch: 758.7620165348053
epoch: 38	train ppl: 50.678850833754105	val ppl: 122.5322459752577	best val: 116.1971649985353	time (s) spent in epoch: 757.2411794662476
epoch: 39	train ppl: 50.06387143642579	val ppl: 123.2926866017246	best val: 116.1971649985353	time (s) spent in epoch: 753.9411549568176
