epoch: 0	train ppl: 562.3277447090934	val ppl: 345.3297855142191	best val: 345.3297855142191	time (s) spent in epoch: 458.7310881614685
epoch: 1	train ppl: 341.44530618533247	val ppl: 275.12506445700967	best val: 275.12506445700967	time (s) spent in epoch: 456.9045796394348
epoch: 2	train ppl: 281.87047500450643	val ppl: 239.0383172087486	best val: 239.0383172087486	time (s) spent in epoch: 453.93549847602844
epoch: 3	train ppl: 247.31478839052082	val ppl: 217.67145245079908	best val: 217.67145245079908	time (s) spent in epoch: 451.810462474823
epoch: 4	train ppl: 224.0306030341974	val ppl: 203.04428365395447	best val: 203.04428365395447	time (s) spent in epoch: 450.99887895584106
epoch: 5	train ppl: 205.88432799410774	val ppl: 192.11572166557966	best val: 192.11572166557966	time (s) spent in epoch: 453.04478335380554
epoch: 6	train ppl: 191.59095538874527	val ppl: 184.7000438294467	best val: 184.7000438294467	time (s) spent in epoch: 453.93374490737915
epoch: 7	train ppl: 180.04499472431598	val ppl: 178.39448142190267	best val: 178.39448142190267	time (s) spent in epoch: 454.2836787700653
epoch: 8	train ppl: 170.0900688726905	val ppl: 173.6128700512745	best val: 173.6128700512745	time (s) spent in epoch: 454.0740797519684
epoch: 9	train ppl: 161.65012769882614	val ppl: 171.82532721349986	best val: 171.82532721349986	time (s) spent in epoch: 454.0670702457428
epoch: 10	train ppl: 154.1119421284828	val ppl: 168.884324437929	best val: 168.884324437929	time (s) spent in epoch: 453.79556822776794
epoch: 11	train ppl: 147.2395173336876	val ppl: 166.15782290973232	best val: 166.15782290973232	time (s) spent in epoch: 452.0651295185089
epoch: 12	train ppl: 141.50497809647194	val ppl: 163.23663959368983	best val: 163.23663959368983	time (s) spent in epoch: 454.2952256202698
epoch: 13	train ppl: 135.89555332413892	val ppl: 158.63275621665542	best val: 158.63275621665542	time (s) spent in epoch: 453.68048906326294
epoch: 14	train ppl: 131.0398569540105	val ppl: 156.0974905944746	best val: 156.0974905944746	time (s) spent in epoch: 452.87380933761597
epoch: 15	train ppl: 126.48018722459922	val ppl: 154.1776740431579	best val: 154.1776740431579	time (s) spent in epoch: 453.0505623817444
epoch: 16	train ppl: 122.1632971093572	val ppl: 154.70992085343988	best val: 154.1776740431579	time (s) spent in epoch: 452.42418456077576
epoch: 17	train ppl: 118.41755916398851	val ppl: 154.14968106589563	best val: 154.14968106589563	time (s) spent in epoch: 449.80658626556396
epoch: 18	train ppl: 114.70663168676688	val ppl: 152.57892037900072	best val: 152.57892037900072	time (s) spent in epoch: 451.4974799156189
epoch: 19	train ppl: 111.39718224109755	val ppl: 151.7797974689542	best val: 151.7797974689542	time (s) spent in epoch: 457.6482775211334
epoch: 20	train ppl: 108.08107476051386	val ppl: 150.86405371579087	best val: 150.86405371579087	time (s) spent in epoch: 458.0385971069336
epoch: 21	train ppl: 105.17233978832216	val ppl: 152.58029303514564	best val: 150.86405371579087	time (s) spent in epoch: 457.1235046386719
epoch: 22	train ppl: 102.45590968139625	val ppl: 151.1543692842559	best val: 150.86405371579087	time (s) spent in epoch: 460.5727484226227
epoch: 23	train ppl: 99.83069329185606	val ppl: 154.26832833472002	best val: 150.86405371579087	time (s) spent in epoch: 458.96725964546204
epoch: 24	train ppl: 97.3441335872422	val ppl: 152.31957715331922	best val: 150.86405371579087	time (s) spent in epoch: 459.4170672893524
epoch: 25	train ppl: 94.79473676124503	val ppl: 152.26336372638045	best val: 150.86405371579087	time (s) spent in epoch: 460.09859132766724
epoch: 26	train ppl: 92.55180997535717	val ppl: 153.74243772483513	best val: 150.86405371579087	time (s) spent in epoch: 458.24835300445557
epoch: 27	train ppl: 90.3221439104404	val ppl: 155.2239255501798	best val: 150.86405371579087	time (s) spent in epoch: 459.99483823776245
epoch: 28	train ppl: 88.44420137925869	val ppl: 153.47131586389366	best val: 150.86405371579087	time (s) spent in epoch: 459.0299644470215
epoch: 29	train ppl: 86.39998645153256	val ppl: 155.19046874781827	best val: 150.86405371579087	time (s) spent in epoch: 459.8529279232025
epoch: 30	train ppl: 84.51615492525961	val ppl: 155.19849696147284	best val: 150.86405371579087	time (s) spent in epoch: 458.3517498970032
epoch: 31	train ppl: 82.42452853835394	val ppl: 156.7398291395681	best val: 150.86405371579087	time (s) spent in epoch: 458.0084421634674
epoch: 32	train ppl: 80.88846312815357	val ppl: 156.95209946402554	best val: 150.86405371579087	time (s) spent in epoch: 460.2549059391022
epoch: 33	train ppl: 79.11240094105081	val ppl: 160.4739123715478	best val: 150.86405371579087	time (s) spent in epoch: 458.9928689002991
epoch: 34	train ppl: 77.38845320210123	val ppl: 162.42539140635034	best val: 150.86405371579087	time (s) spent in epoch: 458.5931656360626
epoch: 35	train ppl: 76.04638924539402	val ppl: 161.02228677149367	best val: 150.86405371579087	time (s) spent in epoch: 460.3740608692169
epoch: 36	train ppl: 74.56359844757037	val ppl: 161.24947489526778	best val: 150.86405371579087	time (s) spent in epoch: 457.7815492153168
epoch: 37	train ppl: 73.26410119870002	val ppl: 162.91103036576587	best val: 150.86405371579087	time (s) spent in epoch: 459.44920444488525
epoch: 38	train ppl: 71.92324207086112	val ppl: 164.41985089344155	best val: 150.86405371579087	time (s) spent in epoch: 459.8497533798218
epoch: 39	train ppl: 70.37982032554288	val ppl: 165.38079575115347	best val: 150.86405371579087	time (s) spent in epoch: 457.39306712150574
