epoch: 0	train ppl: 577.6206349940222	val ppl: 319.02432134170584	best val: 319.02432134170584	time (s) spent in epoch: 212.57365703582764
epoch: 1	train ppl: 267.8649813744699	val ppl: 225.4876795991831	best val: 225.4876795991831	time (s) spent in epoch: 212.65195226669312
epoch: 2	train ppl: 199.93264304882976	val ppl: 191.01021451014623	best val: 191.01021451014623	time (s) spent in epoch: 213.0057761669159
epoch: 3	train ppl: 164.94260769880137	val ppl: 171.25313093373867	best val: 171.25313093373867	time (s) spent in epoch: 212.6747658252716
epoch: 4	train ppl: 141.9553232553179	val ppl: 158.07131256815703	best val: 158.07131256815703	time (s) spent in epoch: 212.71076917648315
epoch: 5	train ppl: 124.85579455586355	val ppl: 148.31065921101919	best val: 148.31065921101919	time (s) spent in epoch: 212.58951139450073
epoch: 6	train ppl: 111.4637572027472	val ppl: 141.4003104166294	best val: 141.4003104166294	time (s) spent in epoch: 212.56539821624756
epoch: 7	train ppl: 100.57633508975243	val ppl: 135.50057708214598	best val: 135.50057708214598	time (s) spent in epoch: 212.54928183555603
epoch: 8	train ppl: 91.53071543974433	val ppl: 131.790241464565	best val: 131.790241464565	time (s) spent in epoch: 212.55904603004456
epoch: 9	train ppl: 83.79403075539157	val ppl: 128.86529431660563	best val: 128.86529431660563	time (s) spent in epoch: 212.63312482833862
epoch: 10	train ppl: 77.15902046081706	val ppl: 126.19346662999723	best val: 126.19346662999723	time (s) spent in epoch: 212.43853902816772
epoch: 11	train ppl: 71.31429795647577	val ppl: 124.52869169473885	best val: 124.52869169473885	time (s) spent in epoch: 212.56109023094177
epoch: 12	train ppl: 66.17097549402479	val ppl: 124.01494170649136	best val: 124.01494170649136	time (s) spent in epoch: 212.30498719215393
epoch: 13	train ppl: 61.51409850526583	val ppl: 122.90478504295673	best val: 122.90478504295673	time (s) spent in epoch: 212.4647970199585
epoch: 14	train ppl: 57.425287042526975	val ppl: 122.54649205386032	best val: 122.54649205386032	time (s) spent in epoch: 212.3368763923645
epoch: 15	train ppl: 53.69403874894852	val ppl: 123.43092599783147	best val: 122.54649205386032	time (s) spent in epoch: 211.45736479759216
epoch: 16	train ppl: 50.28577056418792	val ppl: 123.76607844597483	best val: 122.54649205386032	time (s) spent in epoch: 211.37378787994385
epoch: 17	train ppl: 47.08244704461886	val ppl: 124.76827113500683	best val: 122.54649205386032	time (s) spent in epoch: 211.1709463596344
epoch: 18	train ppl: 44.21788268557078	val ppl: 126.27059907226358	best val: 122.54649205386032	time (s) spent in epoch: 211.26011514663696
epoch: 19	train ppl: 41.534177376810035	val ppl: 127.96168499351457	best val: 122.54649205386032	time (s) spent in epoch: 211.31516242027283
epoch: 20	train ppl: 39.09464676551789	val ppl: 130.00490989685287	best val: 122.54649205386032	time (s) spent in epoch: 210.97694969177246
epoch: 21	train ppl: 36.784954941610735	val ppl: 132.67869697471252	best val: 122.54649205386032	time (s) spent in epoch: 211.29537200927734
epoch: 22	train ppl: 34.60652374381053	val ppl: 136.29248980710375	best val: 122.54649205386032	time (s) spent in epoch: 211.1993067264557
epoch: 23	train ppl: 32.65589873234521	val ppl: 138.6811060867571	best val: 122.54649205386032	time (s) spent in epoch: 211.11394095420837
epoch: 24	train ppl: 30.79877511824172	val ppl: 141.9729774339197	best val: 122.54649205386032	time (s) spent in epoch: 211.37012648582458
epoch: 25	train ppl: 29.07675821519746	val ppl: 145.77416144365958	best val: 122.54649205386032	time (s) spent in epoch: 211.12414407730103
epoch: 26	train ppl: 27.429020241557282	val ppl: 148.66537240464646	best val: 122.54649205386032	time (s) spent in epoch: 211.333105802536
epoch: 27	train ppl: 25.94295688663759	val ppl: 153.7403236155203	best val: 122.54649205386032	time (s) spent in epoch: 211.25540804862976
epoch: 28	train ppl: 24.478023871647412	val ppl: 157.4389469967804	best val: 122.54649205386032	time (s) spent in epoch: 211.12558007240295
epoch: 29	train ppl: 23.1724511967206	val ppl: 162.01915239085878	best val: 122.54649205386032	time (s) spent in epoch: 211.21210265159607
epoch: 30	train ppl: 21.905476559580602	val ppl: 167.97272563528406	best val: 122.54649205386032	time (s) spent in epoch: 211.27788043022156
epoch: 31	train ppl: 20.755442940633287	val ppl: 172.87678216977716	best val: 122.54649205386032	time (s) spent in epoch: 211.11400318145752
epoch: 32	train ppl: 19.690679489480182	val ppl: 178.19247361788965	best val: 122.54649205386032	time (s) spent in epoch: 211.1843547821045
epoch: 33	train ppl: 18.651085727934102	val ppl: 184.3421161911862	best val: 122.54649205386032	time (s) spent in epoch: 211.64386367797852
epoch: 34	train ppl: 17.744220964756718	val ppl: 190.54889621868355	best val: 122.54649205386032	time (s) spent in epoch: 210.93215799331665
epoch: 35	train ppl: 16.81055608071437	val ppl: 197.84864488829353	best val: 122.54649205386032	time (s) spent in epoch: 211.65195107460022
epoch: 36	train ppl: 15.954378372153725	val ppl: 204.89468515072073	best val: 122.54649205386032	time (s) spent in epoch: 212.5920865535736
epoch: 37	train ppl: 15.152776131597964	val ppl: 211.5936885329887	best val: 122.54649205386032	time (s) spent in epoch: 212.1315290927887
epoch: 38	train ppl: 14.378959572732434	val ppl: 220.8105976319135	best val: 122.54649205386032	time (s) spent in epoch: 212.335364818573
epoch: 39	train ppl: 13.703903637614106	val ppl: 228.78571859798012	best val: 122.54649205386032	time (s) spent in epoch: 211.84630274772644
